01:11:03 INFO    train | config: configs\retriever.yaml + ['name=retriever_b128_hn1', 'data.batch_size=128', 'loss.hard_negatives=1', 'train.max_steps=20000']
01:40:53 INFO    qar.training.trainer | step   7700 | loss=2.4151 nce=2.4151 acc=0.3430 grad_norm=2.6020 lr=0.0002 steps_per_s=4.5718 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:41:15 INFO    qar.training.trainer | step   7800 | loss=2.3743 nce=2.3743 acc=0.3514 grad_norm=2.6132 lr=0.0002 steps_per_s=4.5936 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:41:36 INFO    qar.training.trainer | step   7900 | loss=2.3694 nce=2.3694 acc=0.3566 grad_norm=2.6250 lr=0.0002 steps_per_s=4.5999 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:41:58 INFO    qar.training.trainer | step   8000 | loss=2.4008 nce=2.4008 acc=0.3426 grad_norm=2.6117 lr=0.0002 steps_per_s=4.5873 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:42:01 INFO    qar.training.trainer | step   8000 | EVAL val/loss=2.5037 val/mrr=0.4921 val/recall@1=0.3201 val/recall@5=0.6968 val/recall@10=0.8030 val/mean_rank=8.4141
01:42:01 INFO    qar.training.trainer | new best val/recall@1=0.3201
01:42:23 INFO    qar.training.trainer | step   8100 | loss=2.3643 nce=2.3643 acc=0.3523 grad_norm=2.6092 lr=0.0002 steps_per_s=3.9849 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:42:45 INFO    qar.training.trainer | step   8200 | loss=2.3907 nce=2.3907 acc=0.3504 grad_norm=2.5813 lr=0.0002 steps_per_s=4.6266 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:43:06 INFO    qar.training.trainer | step   8300 | loss=2.3721 nce=2.3721 acc=0.3543 grad_norm=2.5904 lr=0.0002 steps_per_s=4.6355 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:43:28 INFO    qar.training.trainer | step   8400 | loss=2.4052 nce=2.4052 acc=0.3449 grad_norm=2.5709 lr=0.0002 steps_per_s=4.6381 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:43:50 INFO    qar.training.trainer | step   8500 | loss=2.3654 nce=2.3654 acc=0.3513 grad_norm=2.5745 lr=0.0002 steps_per_s=4.5846 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:44:12 INFO    qar.training.trainer | step   8600 | loss=2.3637 nce=2.3637 acc=0.3498 grad_norm=2.5795 lr=0.0002 steps_per_s=4.6034 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:44:33 INFO    qar.training.trainer | step   8700 | loss=2.3466 nce=2.3466 acc=0.3559 grad_norm=2.6112 lr=0.0002 steps_per_s=4.5930 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:44:55 INFO    qar.training.trainer | step   8800 | loss=2.3661 nce=2.3661 acc=0.3570 grad_norm=2.5110 lr=0.0002 steps_per_s=4.6258 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:45:17 INFO    qar.training.trainer | step   8900 | loss=2.3610 nce=2.3610 acc=0.3530 grad_norm=2.5595 lr=0.0002 steps_per_s=4.5779 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:45:38 INFO    qar.training.trainer | step   9000 | loss=2.3687 nce=2.3687 acc=0.3611 grad_norm=2.5375 lr=0.0002 steps_per_s=4.6509 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:45:41 INFO    qar.training.trainer | step   9000 | EVAL val/loss=2.4715 val/mrr=0.5011 val/recall@1=0.3271 val/recall@5=0.7102 val/recall@10=0.8059 val/mean_rank=8.2556
01:45:41 INFO    qar.training.trainer | new best val/recall@1=0.3271
01:46:03 INFO    qar.training.trainer | step   9100 | loss=2.3392 nce=2.3392 acc=0.3605 grad_norm=2.5760 lr=0.0002 steps_per_s=4.0941 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:46:24 INFO    qar.training.trainer | step   9200 | loss=2.3245 nce=2.3245 acc=0.3595 grad_norm=2.5365 lr=0.0002 steps_per_s=4.6092 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:46:46 INFO    qar.training.trainer | step   9300 | loss=2.3171 nce=2.3171 acc=0.3622 grad_norm=2.5337 lr=0.0002 steps_per_s=4.5857 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:47:08 INFO    qar.training.trainer | step   9400 | loss=2.3286 nce=2.3286 acc=0.3587 grad_norm=2.5331 lr=0.0002 steps_per_s=4.5831 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:47:30 INFO    qar.training.trainer | step   9500 | loss=2.3639 nce=2.3639 acc=0.3559 grad_norm=2.5391 lr=0.0002 steps_per_s=4.6225 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:47:51 INFO    qar.training.trainer | step   9600 | loss=2.3147 nce=2.3147 acc=0.3613 grad_norm=2.5051 lr=0.0002 steps_per_s=4.5822 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:48:13 INFO    qar.training.trainer | step   9700 | loss=2.2979 nce=2.2979 acc=0.3648 grad_norm=2.5301 lr=0.0002 steps_per_s=4.6321 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:48:35 INFO    qar.training.trainer | step   9800 | loss=2.3278 nce=2.3278 acc=0.3621 grad_norm=2.5293 lr=0.0002 steps_per_s=4.6030 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:48:57 INFO    qar.training.trainer | step   9900 | loss=2.3233 nce=2.3233 acc=0.3610 grad_norm=2.5150 lr=0.0002 steps_per_s=4.6085 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:49:18 INFO    qar.training.trainer | step  10000 | loss=2.3082 nce=2.3082 acc=0.3628 grad_norm=2.5510 lr=0.0002 steps_per_s=4.6119 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:49:21 INFO    qar.training.trainer | step  10000 | EVAL val/loss=2.4034 val/mrr=0.5131 val/recall@1=0.3447 val/recall@5=0.7200 val/recall@10=0.8157 val/mean_rank=7.7908
01:49:21 INFO    qar.training.trainer | new best val/recall@1=0.3447
01:49:43 INFO    qar.training.trainer | step  10100 | loss=2.3256 nce=2.3256 acc=0.3580 grad_norm=2.5217 lr=0.0002 steps_per_s=3.9700 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:50:05 INFO    qar.training.trainer | step  10200 | loss=2.3087 nce=2.3087 acc=0.3685 grad_norm=2.5624 lr=0.0002 steps_per_s=4.5394 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:50:27 INFO    qar.training.trainer | step  10300 | loss=2.3051 nce=2.3051 acc=0.3735 grad_norm=2.5283 lr=0.0002 steps_per_s=4.6000 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:50:49 INFO    qar.training.trainer | step  10400 | loss=2.3018 nce=2.3018 acc=0.3665 grad_norm=2.5122 lr=0.0002 steps_per_s=4.5748 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:51:11 INFO    qar.training.trainer | step  10500 | loss=2.2998 nce=2.2998 acc=0.3665 grad_norm=2.4921 lr=0.0002 steps_per_s=4.6163 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:51:33 INFO    qar.training.trainer | step  10600 | loss=2.2851 nce=2.2851 acc=0.3697 grad_norm=2.5057 lr=0.0001 steps_per_s=4.5668 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:51:54 INFO    qar.training.trainer | step  10700 | loss=2.3177 nce=2.3177 acc=0.3634 grad_norm=2.5173 lr=0.0001 steps_per_s=4.5798 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:52:16 INFO    qar.training.trainer | step  10800 | loss=2.2874 nce=2.2874 acc=0.3730 grad_norm=2.4937 lr=0.0001 steps_per_s=4.5798 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
01:52:38 INFO    qar.training.trainer | step  10900 | loss=2.3214 nce=2.3214 acc=0.3628 grad_norm=2.4996 lr=0.0001 steps_per_s=4.6077 mem/alloc_mib=4830.4956 mem/reserved_mib=6000.0000
