19:09:27 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_12k', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.0', 'train.max_steps=12000']
20:02:51 INFO    qar.training.trainer | step   6400 | loss=2.5782 nce=2.5782 acc=0.3067 grad_norm=2.7202 lr=0.0001 steps_per_s=2.0422 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:03:40 INFO    qar.training.trainer | step   6500 | loss=2.5675 nce=2.5675 acc=0.3022 grad_norm=2.7149 lr=0.0001 steps_per_s=2.0501 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:04:29 INFO    qar.training.trainer | step   6600 | loss=2.5791 nce=2.5791 acc=0.3010 grad_norm=2.7026 lr=0.0001 steps_per_s=2.0367 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:05:18 INFO    qar.training.trainer | step   6700 | loss=2.5749 nce=2.5749 acc=0.2948 grad_norm=2.6782 lr=0.0001 steps_per_s=2.0583 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:06:07 INFO    qar.training.trainer | step   6800 | loss=2.5529 nce=2.5529 acc=0.3068 grad_norm=2.7069 lr=0.0001 steps_per_s=2.0554 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:06:55 INFO    qar.training.trainer | step   6900 | loss=2.5358 nce=2.5358 acc=0.3052 grad_norm=2.6865 lr=0.0001 steps_per_s=2.0569 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:07:43 INFO    qar.training.trainer | step   7000 | loss=2.5433 nce=2.5433 acc=0.3054 grad_norm=2.6916 lr=0.0001 steps_per_s=2.0748 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:07:47 INFO    qar.training.trainer | step   7000 | EVAL val/loss=2.7360 val/mrr=0.4348 val/recall@1=0.2600 val/recall@5=0.6636 val/recall@10=0.7849 val/mean_rank=9.3503
20:07:48 INFO    qar.training.trainer | new best val/recall@1=0.2600
20:08:36 INFO    qar.training.trainer | step   7100 | loss=2.5368 nce=2.5368 acc=0.3041 grad_norm=2.7078 lr=0.0001 steps_per_s=1.8927 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:09:25 INFO    qar.training.trainer | step   7200 | loss=2.5661 nce=2.5661 acc=0.3063 grad_norm=2.6907 lr=0.0001 steps_per_s=2.0591 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:10:13 INFO    qar.training.trainer | step   7300 | loss=2.5224 nce=2.5224 acc=0.3074 grad_norm=2.7017 lr=0.0001 steps_per_s=2.0776 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:11:02 INFO    qar.training.trainer | step   7400 | loss=2.5284 nce=2.5284 acc=0.2996 grad_norm=2.7050 lr=0.0001 steps_per_s=2.0559 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:11:49 INFO    qar.training.trainer | step   7500 | loss=2.5347 nce=2.5347 acc=0.3042 grad_norm=2.6860 lr=0.0001 steps_per_s=2.0910 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:12:38 INFO    qar.training.trainer | step   7600 | loss=2.5429 nce=2.5429 acc=0.3005 grad_norm=2.7029 lr=0.0001 steps_per_s=2.0551 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:13:28 INFO    qar.training.trainer | step   7700 | loss=2.5445 nce=2.5445 acc=0.3021 grad_norm=2.7062 lr=0.0001 steps_per_s=1.9865 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:14:18 INFO    qar.training.trainer | step   7800 | loss=2.5086 nce=2.5086 acc=0.3100 grad_norm=2.7033 lr=0.0001 steps_per_s=2.0238 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:15:07 INFO    qar.training.trainer | step   7900 | loss=2.5084 nce=2.5084 acc=0.3136 grad_norm=2.7070 lr=0.0001 steps_per_s=2.0483 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:15:56 INFO    qar.training.trainer | step   8000 | loss=2.5316 nce=2.5316 acc=0.3034 grad_norm=2.6980 lr=0.0001 steps_per_s=2.0110 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:16:00 INFO    qar.training.trainer | step   8000 | EVAL val/loss=2.6855 val/mrr=0.4444 val/recall@1=0.2673 val/recall@5=0.6716 val/recall@10=0.7905 val/mean_rank=9.0850
20:16:01 INFO    qar.training.trainer | new best val/recall@1=0.2673
20:16:50 INFO    qar.training.trainer | step   8100 | loss=2.5080 nce=2.5080 acc=0.3046 grad_norm=2.6722 lr=0.0001 steps_per_s=1.8808 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
