20:53:30 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_mt05', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.5', 'train.max_steps=12000']
21:30:32 INFO    qar.training.trainer | step   7100 | loss=2.8063 nce=2.5109 acc=0.3119 ans_bce=0.5908 grad_norm=2.7733 lr=0.0001 steps_per_s=2.8838 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:31:03 INFO    qar.training.trainer | step   7200 | loss=2.8422 nce=2.5469 acc=0.3057 ans_bce=0.5907 grad_norm=2.7526 lr=0.0001 steps_per_s=3.2634 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:31:34 INFO    qar.training.trainer | step   7300 | loss=2.7954 nce=2.5032 acc=0.3121 ans_bce=0.5845 grad_norm=2.7720 lr=0.0001 steps_per_s=3.2225 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:32:05 INFO    qar.training.trainer | step   7400 | loss=2.7932 nce=2.5009 acc=0.3091 ans_bce=0.5846 grad_norm=2.7539 lr=0.0001 steps_per_s=3.2458 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:32:36 INFO    qar.training.trainer | step   7500 | loss=2.8043 nce=2.5121 acc=0.3096 ans_bce=0.5844 grad_norm=2.7299 lr=0.0001 steps_per_s=3.2432 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:33:06 INFO    qar.training.trainer | step   7600 | loss=2.8142 nce=2.5181 acc=0.3066 ans_bce=0.5923 grad_norm=2.7902 lr=0.0001 steps_per_s=3.2519 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:33:37 INFO    qar.training.trainer | step   7700 | loss=2.8210 nce=2.5261 acc=0.2992 ans_bce=0.5899 grad_norm=2.7567 lr=0.0001 steps_per_s=3.2526 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:34:08 INFO    qar.training.trainer | step   7800 | loss=2.7801 nce=2.4896 acc=0.3168 ans_bce=0.5811 grad_norm=2.7597 lr=0.0001 steps_per_s=3.2336 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:34:39 INFO    qar.training.trainer | step   7900 | loss=2.7783 nce=2.4860 acc=0.3141 ans_bce=0.5847 grad_norm=2.7699 lr=0.0001 steps_per_s=3.2545 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:35:10 INFO    qar.training.trainer | step   8000 | loss=2.8061 nce=2.5090 acc=0.3072 ans_bce=0.5942 grad_norm=2.7830 lr=0.0001 steps_per_s=3.2167 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:35:13 INFO    qar.training.trainer | step   8000 | EVAL val/loss=2.6793 val/mrr=0.4501 val/recall@1=0.2759 val/recall@5=0.6733 val/recall@10=0.7910 val/mean_rank=8.9788 val/ans_bce=0.5693 val/ans_acc=0.7051 val/ans_precision=0.7219 val/ans_recall=0.8958 val/ans_f1=0.7985
21:35:14 INFO    qar.training.trainer | new best val/recall@1=0.2759
21:35:45 INFO    qar.training.trainer | step   8100 | loss=2.7881 nce=2.4943 acc=0.3054 ans_bce=0.5875 grad_norm=2.7345 lr=0.0001 steps_per_s=2.8401 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:36:16 INFO    qar.training.trainer | step   8200 | loss=2.7957 nce=2.5020 acc=0.3114 ans_bce=0.5875 grad_norm=2.7386 lr=0.0001 steps_per_s=3.2383 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:36:47 INFO    qar.training.trainer | step   8300 | loss=2.7745 nce=2.4815 acc=0.3116 ans_bce=0.5860 grad_norm=2.7641 lr=0.0001 steps_per_s=3.2534 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:37:18 INFO    qar.training.trainer | step   8400 | loss=2.8015 nce=2.5076 acc=0.3097 ans_bce=0.5879 grad_norm=2.7624 lr=0.0001 steps_per_s=3.2372 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:37:48 INFO    qar.training.trainer | step   8500 | loss=2.7737 nce=2.4826 acc=0.3077 ans_bce=0.5824 grad_norm=2.7545 lr=0.0001 steps_per_s=3.2333 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:38:19 INFO    qar.training.trainer | step   8600 | loss=2.7774 nce=2.4802 acc=0.3126 ans_bce=0.5945 grad_norm=2.7555 lr=0.0001 steps_per_s=3.2649 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:38:50 INFO    qar.training.trainer | step   8700 | loss=2.7521 nce=2.4604 acc=0.3102 ans_bce=0.5834 grad_norm=2.7874 lr=0.0001 steps_per_s=3.2553 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:39:21 INFO    qar.training.trainer | step   8800 | loss=2.7657 nce=2.4725 acc=0.3137 ans_bce=0.5864 grad_norm=2.7298 lr=0.0001 steps_per_s=3.2379 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:39:52 INFO    qar.training.trainer | step   8900 | loss=2.7760 nce=2.4805 acc=0.3143 ans_bce=0.5911 grad_norm=2.7390 lr=0.0001 steps_per_s=3.2445 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:40:22 INFO    qar.training.trainer | step   9000 | loss=2.7774 nce=2.4832 acc=0.3141 ans_bce=0.5885 grad_norm=2.7641 lr=0.0000 steps_per_s=3.2419 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:40:26 INFO    qar.training.trainer | step   9000 | EVAL val/loss=2.6415 val/mrr=0.4519 val/recall@1=0.2783 val/recall@5=0.6755 val/recall@10=0.7957 val/mean_rank=8.7515 val/ans_bce=0.5694 val/ans_acc=0.7053 val/ans_precision=0.7348 val/ans_recall=0.8637 val/ans_f1=0.7928
21:40:27 INFO    qar.training.trainer | new best val/recall@1=0.2783
21:40:57 INFO    qar.training.trainer | step   9100 | loss=2.7506 nce=2.4581 acc=0.3214 ans_bce=0.5849 grad_norm=2.7726 lr=0.0000 steps_per_s=2.8535 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:41:28 INFO    qar.training.trainer | step   9200 | loss=2.7432 nce=2.4470 acc=0.3182 ans_bce=0.5924 grad_norm=2.7563 lr=0.0000 steps_per_s=3.2430 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:41:59 INFO    qar.training.trainer | step   9300 | loss=2.7427 nce=2.4496 acc=0.3170 ans_bce=0.5862 grad_norm=2.7380 lr=0.0000 steps_per_s=3.2309 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:42:30 INFO    qar.training.trainer | step   9400 | loss=2.7370 nce=2.4450 acc=0.3201 ans_bce=0.5840 grad_norm=2.7690 lr=0.0000 steps_per_s=3.2475 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:43:01 INFO    qar.training.trainer | step   9500 | loss=2.7722 nce=2.4796 acc=0.3105 ans_bce=0.5853 grad_norm=2.7394 lr=0.0000 steps_per_s=3.2370 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
